City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constantia,44.1833,28.65,283.53,58,55,2.96,RO,1700158363
1,haiku-pauwela,20.9219,-156.3051,296.51,82,40,4.63,US,1700158363
2,waitangi,-43.9535,-176.5597,288.05,93,98,3.58,NZ,1700158363
3,coquimbo,-29.9533,-71.3436,290.45,66,0,5.8,CL,1700158364
4,jinka,5.65,36.65,292.35,85,74,1.29,ET,1700158364
5,kurchatov,51.6601,35.6521,278.38,97,100,3.72,RU,1700158364
6,invercargill,-46.4,168.35,281.49,93,100,1.74,NZ,1700158366
7,port-aux-francais,-49.35,70.2167,278.76,86,100,15.83,TF,1700158366
8,taki,22.5861,88.9214,296.12,89,100,4.55,IN,1700158367
9,bredasdorp,-34.5322,20.0403,291.42,85,99,2.34,ZA,1700158367
10,tiksi,71.6872,128.8694,258.72,95,100,2.85,RU,1700158367
11,susuman,62.7833,148.1667,239.29,100,85,0.52,RU,1700158367
12,bilibino,68.0546,166.4372,253.41,99,100,0.34,RU,1700158193
13,ceyhan,37.0247,35.8175,291.34,80,32,1.15,TR,1700158368
14,kodiak,57.79,-152.4072,276.88,60,20,4.63,US,1700158368
15,patacamaya,-17.2333,-67.9167,293.32,30,52,5.81,BO,1700158368
16,sinabang,2.4803,96.3801,299.19,88,100,1.86,ID,1700158368
17,hawaiian paradise park,19.5933,-154.9731,295.39,83,100,2.06,US,1700158356
18,grytviken,-54.2811,-36.5092,274.86,99,100,4.1,GS,1700158368
19,cedar city,37.6775,-113.0619,285.96,67,0,7.2,US,1700158369
20,launceston,-41.45,147.1667,278.23,81,2,0.0,AU,1700158369
21,obubra,6.0752,8.329,298.47,87,49,2.31,NG,1700158369
22,mogocha,53.7333,119.7667,257.89,97,18,1.06,RU,1700158369
23,albany,42.6001,-73.9662,289.15,49,6,0.89,US,1700158343
24,brush,40.2589,-103.6238,291.19,26,100,2.06,US,1700158200
25,vadso,70.0744,29.7487,269.24,74,40,4.63,NO,1700158370
26,bonthe,7.5264,-12.505,300.84,79,14,4.42,SL,1700158370
27,sitka,57.0531,-135.33,280.09,81,100,3.09,US,1700158370
28,al bawiti,28.3492,28.8659,293.2,48,0,2.62,EG,1700158370
29,iqaluit,63.7506,-68.5145,272.0,86,75,12.86,CA,1700158370
30,puerto ayora,-0.7393,-90.3518,301.13,94,70,2.68,EC,1700158370
31,yellowknife,62.456,-114.3525,268.44,96,75,10.8,CA,1700158371
32,namibe,-15.1961,12.1522,296.79,77,79,4.24,AO,1700158371
33,margaret river,-33.95,115.0667,285.73,74,0,5.89,AU,1700158371
34,lospalos,-8.5186,127.0025,295.75,85,13,0.53,TL,1700158371
35,quibala,-10.7337,14.98,291.3,96,90,0.95,AO,1700158371
36,udachny,66.4167,112.4,263.38,95,100,3.09,RU,1700158371
37,sungailiat,-1.85,106.1333,300.18,81,100,0.44,ID,1700158372
38,howrah,22.5892,88.3103,296.15,88,75,3.09,IN,1700158243
39,kingsbridge,50.2845,-3.7764,282.35,81,57,4.16,GB,1700158372
40,bethanie,-26.4833,17.15,302.72,16,56,8.48,NA,1700158372
41,majuro,7.0897,171.3803,301.65,77,100,8.35,MH,1700158372
42,sialkot,32.5101,74.5431,291.05,72,22,0.0,PK,1700158372
43,college,64.8569,-147.8028,265.07,87,75,0.0,US,1700158372
44,selfoss,63.9331,-20.9971,278.73,81,98,4.36,IS,1700158372
45,avarua,-21.2078,-159.775,296.18,64,95,4.63,CK,1700158373
46,talnakh,69.4865,88.3972,261.6,95,100,4.1,RU,1700158373
47,west island,-12.1568,96.8225,299.14,73,40,4.63,CC,1700158373
48,tabou,4.423,-7.3528,300.26,79,13,2.48,CI,1700158373
49,uturoa,-16.7333,-151.4333,298.95,75,94,10.37,PF,1700158373
50,san jeronimito,17.55,-101.3333,307.06,59,40,4.63,MX,1700158373
51,nyurba,63.2842,118.3319,266.21,93,100,5.46,RU,1700158373
52,khark,29.2614,50.3306,296.93,66,80,6.8,IR,1700158373
53,puerto baquerizo moreno,-0.9,-89.6,300.7,65,75,9.26,EC,1700158374
54,wailua homesteads,22.0669,-159.378,296.59,82,40,7.72,US,1700158374
55,nago,26.5881,127.9761,293.4,74,98,10.51,JP,1700158374
56,ulanhot,46.0833,122.0833,266.4,75,100,5.54,CN,1700158374
57,punta arenas,-53.15,-70.9167,283.21,66,94,5.11,CL,1700158166
58,adamstown,-25.066,-130.1015,294.93,90,100,6.57,PN,1700158374
59,blackmans bay,-43.0167,147.3167,281.22,84,46,0.45,AU,1700158374
60,ushuaia,-54.8,-68.3,282.96,49,0,5.81,AR,1700158374
61,kosan,38.8558,127.4181,272.32,91,56,2.64,KP,1700158375
62,as sars,36.0764,9.0212,292.94,47,8,1.2,TN,1700158375
63,pointe-du-lac,46.2869,-72.6845,284.15,63,0,3.09,CA,1700158375
64,edinburgh of the seven seas,-37.0676,-12.3116,287.14,79,5,8.19,SH,1700158375
65,kasempa,-13.4584,25.8338,299.84,27,50,1.52,ZM,1700158375
66,lihue,21.9789,-159.3672,296.92,76,40,7.72,US,1700158375
67,afaahiti,-17.75,-149.2833,299.08,80,100,10.51,PF,1700158375
68,mata-utu,-13.2816,-176.1745,301.83,76,100,2.21,WF,1700158376
69,jamestown,42.097,-79.2353,290.63,41,0,5.14,US,1700158280
70,konotop,51.2403,33.2026,276.6,96,100,4.59,UA,1700158376
71,east wenatchee bench,47.4257,-120.2812,280.4,69,0,1.54,US,1700158376
72,ar rass,25.8694,43.4973,293.7,55,0,6.19,SA,1700158376
73,stanley,54.868,-1.6985,279.0,94,20,1.03,GB,1700158376
74,dzuunmod,48.2199,97.3744,264.18,56,0,3.35,MN,1700158376
75,fisterra,42.9049,-9.2629,288.72,78,78,2.62,ES,1700158377
76,bikenibeu village,1.3673,173.1241,301.34,75,63,2.5,KI,1700158377
77,kirtland,36.7342,-108.3598,287.4,35,100,4.63,US,1700158314
78,lady frere,-31.7031,27.2329,294.91,45,98,2.55,ZA,1700158377
79,asahi,35.7167,140.65,285.52,72,100,6.58,JP,1700158377
80,nar'yan-mar,67.6713,53.087,264.32,96,100,2.68,RU,1700158377
81,puerto natales,-51.7236,-72.4875,282.4,76,100,2.57,CL,1700158377
82,kendari,-3.945,122.4989,297.83,92,79,1.3,ID,1700158377
83,ta`u,-14.2336,-169.5144,301.04,82,96,4.88,AS,1700158378
84,saipan,15.1355,145.701,300.54,83,20,6.17,MP,1700158378
85,portland,45.5234,-122.6762,284.35,81,20,3.09,US,1700158227
86,coxen hole,16.3244,-86.5366,300.75,83,75,7.72,HN,1700158378
87,arraial do cabo,-22.9661,-42.0278,304.07,51,0,6.17,BR,1700158145
88,hamilton,39.1834,-84.5333,293.85,49,0,3.6,US,1700158221
89,thompson,55.7435,-97.8558,266.24,79,100,3.6,CA,1700158378
90,whitehorse,60.7161,-135.0538,273.58,64,20,5.66,CA,1700158378
91,mary,37.0,62.5,295.52,14,100,5.68,TM,1700158379
92,rayevskiy,54.0658,54.9468,276.68,96,100,1.2,RU,1700158215
93,sao vicente,-23.9631,-46.3919,309.25,50,100,2.68,BR,1700158370
94,kili,5.6439,169.1211,301.62,75,100,5.47,MH,1700158379
95,tazacorte,28.629,-17.9293,298.69,34,0,3.09,ES,1700158379
96,san luis de la loma,17.2706,-100.8939,303.51,67,14,2.23,MX,1700158379
97,dunedin,-45.8742,170.5036,283.04,94,100,1.34,NZ,1700158379
98,sann,26.0418,68.1378,295.82,21,35,1.79,PK,1700158380
99,georgetown,5.4112,100.3354,300.94,89,20,2.06,MY,1700158314
100,kill devil hills,36.0307,-75.676,292.58,71,0,2.57,US,1700158316
